node_id,tipo_nodo,etiqueta,comunidad,componente,grado,fuerza,grado_bipartito,intermediacion,cercania,pagerank,vector_propio,channel_name,category,view_count,comentarios_recibidos,sent_medio
author::UC9Wp6vL5oCU37qC3Aj94WZA,autor,@ManuelSanchez-b8q2z,9,1,1,1,0.0526,0.0,0.1461,0.00159,0.00018,,,,,-0.949
author::UCyW68EGZey4ao_Vf2cR5Ztg,autor,@ZabalaXabier,3,1,1,1,0.0526,0.0,0.1223,0.00157,0.0,,,,,-0.95
author::UCVhif9eV0f8plICen2DnpKA,autor,@blogarteplus,3,1,1,1,0.0526,0.0,0.1223,0.00157,0.0,,,,,0.3
author::UCGj2v6Gl5bN8NSrzJMXS-CA,autor,@juliogutierrez492,3,1,1,1,0.0526,0.0,0.1223,0.00157,0.0,,,,,-0.973
author::UCOARn3hnfkB7-_Rwa8Hoqcw,autor,@nicelol5241,3,1,1,1,0.0526,0.0,0.1223,0.00157,0.0,,,,,-0.98
author::UCZIQnb1fkwe39Iw2TAu-bGA,autor,@jorgegomez2237,3,1,1,1,0.0526,0.0,0.1223,0.00157,0.0,,,,,-0.913
author::UCXl30Y_upRqbti52fmjK4YA,autor,@capitanfrans,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,0.567
author::UCXO1BBohNWXkK9SBDAG2ySg,autor,@JBFlute92,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,0.944
author::UCXVLc8CmAO813ubM-fLvCDw,autor,@herminiasaquimux7565,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,-0.956
author::UCCUmP4PlbwgikVFpYwbtRTg,autor,@alhvi,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,0.92
author::UCefAH1MbvADWUjE9WVcB9EQ,autor,@jabriz8152,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,-0.977
author::UCwEe1RKlEv1UpNWmWYfSh4w,autor,@marioramirez299,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,-0.897
author::UCOY3XpD9qMCRSA8AA8c4CAw,autor,@franciscorodas9686,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,0.937
author::UCTTILH6QCIxbTnEWxwRqs1g,autor,@3762Jorge,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,-0.023
author::UCdQAuWwyC99MB7Y02Umj26Q,autor,@miguelbran1268,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,-0.8
author::UChT7pzGytNd92Nmvi-zuWog,autor,@sparkvalkov,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,0.239
author::UCkxdJ_yGN2gghOMo2ybQtXQ,autor,@11223344An,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,-0.904
author::UCxcoDvP-g2_KTZDmVZtvb3w,autor,@angelmartinez9523,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,-0.93
author::UCc_F88PzGWtA1OPNUEASulA,autor,@rockyscarlet,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,-0.926
author::UCcFIBN-rtC3d3hXeuN5TfWw,autor,@DenisRMC,3,1,1,1,0.0526,0.0,0.1236,0.00151,0.0,,,,,-0.943
author::UC5hvEnRUzI4Kfvwnyi4QxqQ,autor,@leonelsantizo5281,2,1,1,1,0.0526,0.0,0.1742,0.0015,0.00065,,,,,0.727
