source,target,weight,relation
author::UCmvOgzmmXbjUthHy-WJ52hQ,video::n8iP75gIpmw,1,comento_en
author::UCnU8wO1OurAmGstDw6VGjgQ,video::ndAZjHqzzT8,1,comento_en
author::UCoGdCoJg2Lh0OX_jv6cG16g,video::6W4u8sGEnGM,2,comento_en
author::UColMq7LmaoY3MT6aIDGrGvA,video::j43HgwYFKfk,1,comento_en
author::UCozFYHN0e_-vlQbX3wQGOug,video::OkXlHx0hx-8,1,comento_en
author::UCp29O_C7cchZV8IxV7Crdag,video::6W4u8sGEnGM,2,comento_en
author::UCp4iw5_5SmV9VGTFSNVGOmQ,video::n8iP75gIpmw,1,comento_en
author::UCpIdtvoFHVLGASGB5ySqIEA,video::n8iP75gIpmw,1,comento_en
author::UCp_dAUfv8i3LW3zWc24dLaQ,video::OkXlHx0hx-8,1,comento_en
author::UCpe5jW3MIqkgTJ-PgkzvM6Q,video::j43HgwYFKfk,1,comento_en
author::UCpl8rF8uv_8uui-QRvuJaRA,video::n8iP75gIpmw,1,comento_en
author::UCplrIQtaPj6au60_f2-mOYw,video::n8iP75gIpmw,1,comento_en
author::UCpsKOkt5iWTbenzeuq7dsmQ,video::j43HgwYFKfk,1,comento_en
author::UCpsKOkt5iWTbenzeuq7dsmQ,video::n8iP75gIpmw,1,comento_en
author::UCpsKOkt5iWTbenzeuq7dsmQ,video::ndAZjHqzzT8,1,comento_en
author::UCq3mDTTRZnUybct5M9OSXbg,video::06mFNPU0aB8,1,comento_en
author::UCqCrvuoJpC-aVb0f4logQRQ,video::j43HgwYFKfk,1,comento_en
author::UCqilIa8r7iek5sGYg_q6ofA,video::lj983NWyAQY,1,comento_en
author::UCql1n3Ey6ULMSOACjMe-fxQ,video::6W4u8sGEnGM,1,comento_en
author::UCr1emrogPKkKTs_WTtx71xg,video::n8iP75gIpmw,1,comento_en
author::UCrJn_rbo_ENAdeqneS-RmRw,video::n8iP75gIpmw,2,comento_en
author::UCrqXyRsg-_hTosURZ-uvoKg,video::OkXlHx0hx-8,1,comento_en
author::UCsGoJEvb-cFPZ2rWoJcXzEQ,video::j43HgwYFKfk,1,comento_en
author::UCsJJAvrVGupdmhOqgtDp8dg,video::n8iP75gIpmw,1,comento_en
author::UCsSXdJct-nsS8DsABoEsaYA,video::n8iP75gIpmw,1,comento_en
author::UCsUCN0Yq_UyTvKjOJLmNrnQ,video::b_Hkrkl3adA,1,comento_en
author::UCsUCN0Yq_UyTvKjOJLmNrnQ,video::n8iP75gIpmw,1,comento_en
author::UCs_5qeqdku9tGAq22y3OcuQ,video::lj983NWyAQY,1,comento_en
author::UCsjs5Hp_r86x1xbK6FAeqaA,video::n8iP75gIpmw,1,comento_en
author::UCtCtts20bW6F9CSohau51Iw,video::6W4u8sGEnGM,2,comento_en
author::UCtMBF_1O2jY2INlb_luuB_A,video::lj983NWyAQY,1,comento_en
author::UCtNfIBnc5S5DbbQj_yxgJTw,video::n8iP75gIpmw,1,comento_en
