origen,destino,peso,likes,respuestas,sent_medio,tipo_arista,author_channel_id,author_handle,video_id,title,channel_name
author::UCGj2v6Gl5bN8NSrzJMXS-CA,video::WIUZtitfLRw,1,0,0,-0.973,comento_en,UCGj2v6Gl5bN8NSrzJMXS-CA,@juliogutierrez492,WIUZtitfLRw,Caminar en una ciudad hecha para carros,Quorum
author::UCGm3gRBEHGRJYmtCryZLtDw,video::b_Hkrkl3adA,1,0,0,-0.819,comento_en,UCGm3gRBEHGRJYmtCryZLtDw,@JoséLopez-g6k,b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial
author::UCGqKxQS-z3NZzZF-2w338AA,video::lj983NWyAQY,1,211,3,0.901,comento_en,UCGqKxQS-z3NZzZF-2w338AA,@samuelaguilar529,lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
author::UCGzXwyCzMzGmjmCbH3Hg01Q,video::n8iP75gIpmw,1,2,0,-0.939,comento_en,UCGzXwyCzMzGmjmCbH3Hg01Q,@FidelZacarias-ph7dy,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCHGd14aYuZZShLD73dkk6mg,video::JkpVO1hx2f8,1,0,0,0.715,comento_en,UCHGd14aYuZZShLD73dkk6mg,@noemiherrera3152,JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,Quorum
author::UCHMQ_lDhibZ-XZ_3fo6oxwg,video::lj983NWyAQY,1,16,0,0.955,comento_en,UCHMQ_lDhibZ-XZ_3fo6oxwg,@crislexrubi4387,lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
author::UCHTGCgY2l-DQJIvlA_cpa_Q,video::PjmxCj-a9Hg,1,1,0,-0.722,comento_en,UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala
author::UCHTGCgY2l-DQJIvlA_cpa_Q,video::n8iP75gIpmw,2,13,0,-0.925,comento_en,UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCHbwIx9pmQuf7i-4_xO2EpA,video::j43HgwYFKfk,1,0,0,0.318,comento_en,UCHbwIx9pmQuf7i-4_xO2EpA,@caminoseternos752,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UCHhHUjaMAZ8SiXdCUCj9DkQ,video::n8iP75gIpmw,2,3,0,-0.775,comento_en,UCHhHUjaMAZ8SiXdCUCj9DkQ,@fredymendez1786,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCHu8x4MVkayU6VgwVKd--MQ,video::b_Hkrkl3adA,1,1,0,-0.968,comento_en,UCHu8x4MVkayU6VgwVKd--MQ,@Hernandez-i1o,b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial
author::UCIUhbSCy3-SGRe5UtqM4fzQ,video::lj983NWyAQY,1,1,0,-0.931,comento_en,UCIUhbSCy3-SGRe5UtqM4fzQ,@jeanmorales1677,lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
author::UCIXLDYqR_syskKRJy_x9W9Q,video::06mFNPU0aB8,1,0,0,-0.194,comento_en,UCIXLDYqR_syskKRJy_x9W9Q,@carlitosramirez4739,06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7
